SrcAddr,DstAddr,Bytes
0.0.0.0,255.255.255.255,61058
00:15:17:2c:e5:2d,ff:ff:ff:ff:ff:ff,26452
1.1.224.18,147.32.87.27,1680
1.114.187.73,147.32.84.229,951
1.144.165.119,147.32.86.58,444
1.160.235.236,147.32.84.229,72
1.161.139.171,147.32.84.229,73
1.168.194.160,147.32.84.229,60
1.168.203.10,147.32.84.59,60
1.169.130.121,147.32.84.229,61
1.169.155.97,147.32.84.229,79
1.169.173.94,147.32.84.229,361
1.169.217.36,147.32.85.5,60
1.170.132.94,147.32.84.229,459
1.170.140.94,147.32.84.229,72
1.171.107.97,147.32.85.100,198
1.173.166.53,147.32.84.229,72
1.174.130.115,147.32.84.229,60
1.174.134.176,147.32.84.229,60
1.175.128.119,147.32.84.229,2964
1.175.130.54,147.32.84.229,306
1.195.6.36,147.32.85.218,72
1.202.19.240,147.32.85.42,66
1.23.180.225,147.32.84.229,77
1.23.215.236,147.32.84.229,476
1.36.69.113,147.32.84.229,73
1.47.52.31,147.32.84.229,70
1.52.188.130,147.32.84.229,75
1.53.40.172,147.32.84.229,463
1.53.52.171,147.32.84.229,154
1.53.87.216,147.32.84.229,77
1.54.27.15,147.32.84.229,76
1.55.119.119,147.32.84.229,76
1.55.36.236,147.32.84.229,461
1.55.95.160,147.32.84.229,78
1.64.152.170,147.32.84.229,74
1.64.164.68,147.32.84.229,86
1.64.4.77,147.32.84.229,484
1.64.59.180,147.32.86.179,1702
1.66.100.155,147.32.84.229,912
1.66.103.82,147.32.84.229,78
1.66.96.100,147.32.84.229,60
1.66.96.165,147.32.84.229,76
1.66.97.40,147.32.84.229,80
1.66.98.134,147.32.84.229,468
1.66.99.215,147.32.84.229,471
1.72.0.173,147.32.84.229,74
1.72.0.215,147.32.84.229,73
1.72.0.229,147.32.84.229,73
1.72.1.25,147.32.84.229,932
1.72.2.157,147.32.84.229,319
1.72.2.51,147.32.84.229,1495
1.72.2.74,147.32.84.229,74
1.72.3.139,147.32.84.229,2842
1.72.3.5,147.32.84.229,465
1.86.143.48,147.32.85.218,72
10.8.0.98,128.105.143.12,3546
101.1.114.165,147.32.84.229,2929
101.1.83.161,147.32.84.229,60
101.10.85.129,147.32.84.229,60
101.108.115.230,147.32.84.229,60
101.108.164.229,147.32.84.229,60
101.108.22.209,147.32.84.229,64
101.108.23.140,147.32.84.229,74
101.108.42.21,147.32.84.229,74
101.108.64.102,147.32.84.229,60
101.109.11.41,147.32.84.229,73
101.109.151.212,147.32.84.229,64
101.109.153.219,147.32.84.229,522
101.109.235.105,147.32.84.229,73
101.109.71.48,147.32.84.229,80
101.109.82.36,147.32.84.229,11104
101.11.1.5,147.32.84.229,3221
101.128.137.115,147.32.84.229,76
101.128.155.15,147.32.85.26,60
101.13.163.229,147.32.84.229,75
101.140.212.145,147.32.84.229,77
101.140.42.21,147.32.84.229,137
101.140.97.117,147.32.84.229,64
101.142.112.119,147.32.84.229,76
101.142.152.24,147.32.84.229,480
101.142.72.227,147.32.84.229,75
101.50.131.38,147.32.84.229,74
101.50.16.77,147.32.84.229,586
101.50.161.196,147.32.84.229,80
101.51.0.246,147.32.84.229,78
101.8.29.34,147.32.84.229,364
101.9.126.76,147.32.84.229,60
101.96.61.155,147.32.84.229,460
103.1.167.199,147.32.84.229,248
105.137.109.193,147.32.84.229,74
105.137.135.96,147.32.84.229,60
105.138.217.37,147.32.84.229,77
105.141.28.96,147.32.84.229,497
105.142.18.99,147.32.84.229,83
105.143.134.97,147.32.84.229,78
105.143.17.35,147.32.84.229,72
